,Field1,lon,lat,locid,V1,V2,Shape_Length,Shape_Area,Location,State
0,59845.0,143.125,-38.5,59846.0,518.0,104.0,2.250000000899263,0.312500000212324,Cell 25,VIC1
1,59846.0,143.75,-38.5,59847.0,519.0,104.0,2.249999999100737,0.312499999762693,Cell 26,VIC1
2,59850.0,146.25,-38.5,59851.0,523.0,104.0,2.25000000089949,0.312500000212381,Cell 28,VIC1
3,59851.0,146.875,-38.5,59852.0,524.0,104.0,2.24999999910051,0.312499999762636,Cell 29,VIC1
4,60419.0,141.875,-38.0,60420.0,516.0,105.0,2.250000000899263,0.312500000212324,Cell 32,VIC1
5,60420.0,142.5,-38.0,60421.0,517.0,105.0,2.249999999100737,0.312499999762693,Cell 33,VIC1
6,60421.0,143.125,-38.0,60422.0,518.0,105.0,2.250000000899263,0.312500000212324,Cell 34,VIC1
7,60422.0,143.75,-38.0,60423.0,519.0,105.0,2.249999999100737,0.312499999762693,Cell 35,VIC1
8,60423.0,144.375,-38.0,60424.0,520.0,105.0,2.249999999100737,0.312499999762693,Cell 36,VIC1
9,60425.0,145.625,-38.0,60426.0,522.0,105.0,2.24999999910051,0.312499999762636,Cell 37,VIC1
10,60426.0,146.25,-38.0,60427.0,523.0,105.0,2.25000000089949,0.312500000212381,Cell 38,VIC1
11,60427.0,146.875,-38.0,60428.0,524.0,105.0,2.24999999910051,0.312499999762636,Cell 39,VIC1
12,60428.0,147.5,-38.0,60429.0,525.0,105.0,2.249999999100737,0.312499999762693,Cell 40,VIC1
13,60996.0,142.5,-37.5,60997.0,517.0,106.0,2.249999999100737,0.312499999762693,Cell 44,VIC1
14,60997.0,143.125,-37.5,60998.0,518.0,106.0,2.250000000899263,0.312500000212324,Cell 45,VIC1
15,60998.0,143.75,-37.5,60999.0,519.0,106.0,2.249999999100737,0.312499999762693,Cell 46,VIC1
16,61000.0,145.0,-37.5,61001.0,521.0,106.0,2.250000000899263,0.312500000212324,Cell 48,VIC1
17,61001.0,145.625,-37.5,61002.0,522.0,106.0,2.24999999910051,0.312499999762636,Cell 49,VIC1
18,61572.0,142.5,-37.0,61573.0,517.0,107.0,2.249999999100737,0.312499999762693,Cell 60,VIC1
19,61573.0,143.125,-37.0,61574.0,518.0,107.0,2.250000000899263,0.312500000212324,Cell 61,VIC1
20,61574.0,143.75,-37.0,61575.0,519.0,107.0,2.249999999100737,0.312499999762693,Cell 62,VIC1
21,61575.0,144.375,-37.0,61576.0,520.0,107.0,2.249999999100737,0.312499999762693,Cell 63,VIC1
22,61577.0,145.625,-37.0,61578.0,522.0,107.0,2.24999999910051,0.312499999762636,Cell 65,VIC1
23,61578.0,146.25,-37.0,61579.0,523.0,107.0,2.25000000089949,0.312500000212381,Cell 66,VIC1
24,61579.0,146.875,-37.0,61580.0,524.0,107.0,2.24999999910051,0.312499999762636,Cell 67,VIC1
25,61580.0,147.5,-37.0,61581.0,525.0,107.0,2.249999999100737,0.312499999762693,Cell 68,VIC1
26,62148.0,142.5,-36.5,62149.0,517.0,108.0,2.249999999100737,0.312499999762693,Cell 76,VIC1
27,62151.0,144.375,-36.5,62152.0,520.0,108.0,2.249999999100737,0.312499999762693,Cell 79,VIC1
28,62152.0,145.0,-36.5,62153.0,521.0,108.0,2.250000000899263,0.312500000212324,Cell 80,VIC1
29,62153.0,145.625,-36.5,62154.0,522.0,108.0,2.24999999910051,0.312499999762636,Cell 81,VIC1
30,62154.0,146.25,-36.5,62155.0,523.0,108.0,2.25000000089949,0.312500000212381,Cell 82,VIC1
31,62155.0,146.875,-36.5,62156.0,524.0,108.0,2.24999999910051,0.312499999762636,Cell 83,VIC1
32,62156.0,147.5,-36.5,62157.0,525.0,108.0,2.249999999100737,0.312499999762693,Cell 84,VIC1
33,62157.0,148.125,-36.5,62158.0,526.0,108.0,2.250000000899263,0.312500000212324,Cell 85,VIC1
34,62726.0,143.75,-36.0,62727.0,519.0,109.0,2.249999999100737,0.312499999762693,Cell 97,VIC1
35,62727.0,144.375,-36.0,62728.0,520.0,109.0,2.249999999100737,0.312499999762693,Cell 98,VIC1
36,62728.0,145.0,-36.0,62729.0,521.0,109.0,2.250000000899263,0.312500000212324,Cell 99,VIC1
37,62729.0,145.625,-36.0,62730.0,522.0,109.0,2.24999999910051,0.312499999762636,Cell 100,VIC1
38,63301.0,143.125,-35.5,63302.0,518.0,110.0,2.250000002697902,0.312500000774399,Cell 115,VIC1
39,63302.0,143.75,-35.5,63303.0,519.0,110.0,2.250000000899377,0.312500000324768,Cell 116,VIC1
40,63876.0,142.5,-35.0,63877.0,517.0,111.0,2.249999999100737,0.312499999762693,Cell 136,VIC1
41,63877.0,143.125,-35.0,63878.0,518.0,111.0,2.250000000899263,0.312500000212324,Cell 137,VIC1
